Timestamp;Card type;Transaction ID;Transaction Details;Credit INR;Debit INR;Previous Balance INR;New Balance INR
27/06/2019 14:20:00;Meal card;115713806530;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;65.00;1591.00;1526.00
27/06/2019 11:43:57;Meal card;115715777246;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;38.00;1629.00;1591.00
27/06/2019 09:37:52;Meal card;115710769258;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;20.00;1649.00;1629.00
27/06/2019 09:29:12;Meal card;115713769003;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;25.00;1674.00;1649.00
26/06/2019 16:40:40;Meal card;115710666673;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;20.00;1694.00;1674.00
26/06/2019 09:59:09;Meal card;115785617184;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;25.00;1719.00;1694.00
26/06/2019 09:32:00;Meal card;115710614804;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;35.00;1754.00;1719.00
25/06/2019 17:43:27;Meal card;115715533085;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;25.00;1779.00;1754.00
25/06/2019 12:55:05;Meal card;115713491052;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;65.00;1844.00;1779.00
25/06/2019 09:42:43;Meal card;115715465296;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;8.00;1852.00;1844.00
25/06/2019 09:39:10;Meal card;115711468116;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;30.00;1882.00;1852.00
24/06/2019 15:30:56;Meal card;115710384165;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;10.00;1892.00;1882.00
24/06/2019 15:27:32;Meal card;115708385093;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;38.00;1930.00;1892.00
24/06/2019 13:21:18;Meal card;115710365347;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;35.00;1965.00;1930.00
24/06/2019 11:16:56;Meal card;115715344714;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;35.00;2000.00;1965.00
21/06/2019 13:53:57;Meal card;115713081555;CAPGEMINI TECHNOLOGY SERVICES INDIA LTD;2000.00;0.00;0.00;2000.00
26/12/2019 17:54:39;Meal card;140067182981;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;50.00;1984.00;1934.00
26/12/2019 13:13:34;Meal card;140060154420;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;35.00;2019.00;1984.00
26/12/2019 12:52:24;Meal card;140066150564;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;94.00;2113.00;2019.00
24/12/2019 17:06:10;Meal card;139776620419;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;160.00;2273.00;2113.00
24/12/2019 16:51:42;Meal card;139778615609;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;15.00;2288.00;2273.00
24/12/2019 13:36:04;Meal card;139775596782;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;35.00;2323.00;2288.00
24/12/2019 13:19:45;Meal card;139778592580;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;75.00;2398.00;2323.00
24/12/2019 10:23:05;Meal card;139779572146;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;25.00;2423.00;2398.00
20/12/2019 13:09:02;Meal card;139776096470;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;70.00;2493.00;2423.00
20/12/2019 10:01:19;Meal card;139777077329;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;15.00;2508.00;2493.00
20/12/2019 09:51:07;Meal card;139778076375;SODEXO FOOD SOLUTIONS (I) PVT LTD;0.00;20.00;2528.00;2508.00
