SEQ,Kotak Standard Multicap Fund - Growth - Direct,Kotak Bluechip Fund - Growth - Direct
1,0.647379017,0.664010159
2,0.651256431,0.666794383
3,0.650734472,0.667557035
4,0.657370815,0.674008553
5,0.654437899,0.670793741
6,0.654214202,0.670888616
7,0.659930902,0.675201792
8,0.668356822,0.683138474
9,0.668381677,0.68472946
10,0.66763602,0.683594605
11,0.668804215,0.683474187
12,0.668978202,0.684838931
13,0.671960828,0.686601422
14,0.674645192,0.689049934
15,0.668033704,0.681653311
16,0.671538289,0.684463079
17,0.678920289,0.691542234
18,0.687197077,0.698515567
19,0.690850794,0.701792413
20,0.691099346,0.70099692
21,0.685854895,0.694538103
22,0.70288072,0.708623433
23,0.703626376,0.711495234
24,0.705763925,0.7164251
25,0.712251137,0.722270876
26,0.709243656,0.720139832
27,0.709442497,0.71941732
28,0.710685258,0.720793011
29,0.710511272,0.721384157
30,0.708448289,0.719596123
31,0.704570875,0.716184262
32,0.699053016,0.709010232
33,0.706584147,0.716450643
34,0.710784679,0.720628804
35,0.714811225,0.724631811
36,0.716849353,0.727186145
37,0.71831581,0.728058268
38,0.719061467,0.728846463
39,0.717893272,0.726682577
40,0.717545299,0.725679088
41,0.71940944,0.728802674
42,0.713568464,0.723460466
43,0.715034922,0.724701143
44,0.720925608,0.729806163
45,0.719707703,0.728605625
46,0.716153406,0.725923574
47,0.716899063,0.725908978
48,0.716774787,0.726043993
49,0.727909925,0.736246734
50,0.730817985,0.738060311
51,0.736335844,0.743125192
52,0.73593816,0.744606705
53,0.734347426,0.74240268
54,0.734471702,0.741428384
55,0.727586807,0.734659398
56,0.732806403,0.738337639
57,0.735192504,0.739954168
58,0.733204086,0.737370641
59,0.736683817,0.74140284
60,0.737280342,0.742409978
61,0.740113837,0.745716016
62,0.743146174,0.747511349
63,0.748490045,0.752043467
64,0.753237392,0.755466275
65,0.754480153,0.755305717
66,0.753684786,0.751251624
67,0.755971466,0.751134854
68,0.76042055,0.756163244
69,0.759351776,0.754309527
70,0.757761042,0.750857527
71,0.758481843,0.750434237
72,0.75527552,0.748241158
73,0.756692268,0.748704588
74,0.760743668,0.752138343
75,0.75979917,0.752477704
76,0.768672483,0.760195443
77,0.778366018,0.768285385
78,0.778962543,0.770525901
79,0.777446375,0.769420239
80,0.777744637,0.768599203
81,0.780006462,0.7689933
82,0.779111674,0.767260002
83,0.782392563,0.772127833
84,0.775209405,0.766114201
85,0.778142321,0.769193998
86,0.780056173,0.770558742
87,0.786095991,0.775619973
88,0.787463028,0.777696282
89,0.784455546,0.774116565
90,0.789749708,0.777258396
91,0.795516119,0.78253857
92,0.793477991,0.781359928
93,0.78142321,0.772244603
94,0.779285661,0.771200975
95,0.774786867,0.771554933
96,0.769567271,0.765942695
97,0.76375115,0.761749938
98,0.775060274,0.774678519
99,0.784107573,0.781907285
100,0.782069445,0.779254426
101,0.786493674,0.783005649
102,0.792434072,0.786191269
103,0.793204583,0.787198406
104,0.798076206,0.792069887
105,0.798498745,0.792832538
106,0.794919593,0.789074017
107,0.798374469,0.793485718
108,0.79738026,0.792963904
109,0.798647876,0.794241071
110,0.792210375,0.789614077
111,0.791638705,0.788836829
112,0.792185519,0.78975274
113,0.789873984,0.78710718
114,0.792732334,0.789099561
115,0.796212065,0.793587891
116,0.795839236,0.793219337
117,0.79514329,0.792577104
118,0.792483782,0.790697844
119,0.786493674,0.785643911
120,0.780627843,0.778681526
121,0.77918624,0.776780371
122,0.781075237,0.779655822
123,0.784306415,0.783286626
124,0.792384361,0.791205062
125,0.792359506,0.791051802
126,0.796062933,0.794682606
127,0.79909527,0.796992454
128,0.7985236,0.79712017
129,0.80481197,0.803049875
130,0.805234509,0.803071769
131,0.809186489,0.805852345
132,0.816245371,0.812234532
133,0.81786096,0.812756346
134,0.817885815,0.812665119
135,0.809981856,0.80460437
136,0.814580071,0.808662113
137,0.811373748,0.804213922
138,0.812815351,0.80706018
139,0.815648845,0.810643546
140,0.815897398,0.810026857
141,0.819078866,0.81285487
142,0.819973653,0.812307513
143,0.820570179,0.81243158
144,0.827455074,0.819481543
145,0.829269505,0.821900863
146,0.827504785,0.820656537
147,0.823478239,0.813427771
148,0.827703626,0.816974646
149,0.832848657,0.818543738
150,0.824969552,0.809742231
151,0.815599135,0.800156179
152,0.803792906,0.789781933
153,0.801183108,0.785403074
154,0.811448314,0.794540293
155,0.819675391,0.802137613
156,0.819277707,0.803038928
157,0.817015882,0.798255025
