SEQ,NAV
1,30.6237
2,30.7419
3,30.7627
4,31.0242
5,30.8899
6,30.9355
7,31.1611
8,31.5045
9,31.5445
10,31.5013
11,31.5338
12,31.5038
13,31.6469
14,31.6557
15,31.3517
16,31.4756
17,31.8282
18,32.2146
19,32.3326
20,32.2992
21,31.9785
22,32.5458
23,32.6468
24,32.7545
25,32.9756
26,32.8596
27,32.9304
28,32.9884
29,33.0069
30,32.9842
31,32.8087
32,32.4533
33,32.7616
34,33.001
35,33.2105
36,33.3625
37,33.2592
38,33.2617
39,33.1839
40,33.1406
41,33.3178
42,33.0298
43,33.0631
44,33.2666
45,33.2569
46,33.1754
47,33.1973
48,33.1746
49,33.6951
50,33.7828
51,34.0555
52,34.0719
53,34.1192
54,34.0488
55,33.7318
56,33.9565
57,33.9965
58,33.8677
59,34.0625
60,34.129
61,34.2672
62,34.4397
63,34.6033
64,34.7672
65,34.7663
66,34.626
67,34.6786
68,34.8442
69,34.7586
70,34.6111
71,34.555
72,34.4936
73,34.5371
74,34.6889
75,34.6923
76,35.0758
77,35.3259
78,35.4068
79,35.4091
80,35.3719
81,35.3983
82,35.3098
83,35.3731
84,35.1492
85,35.2684
86,35.2861
87,35.645
88,35.7314
89,35.64
90,35.7281
91,35.9049
92,35.9135
93,35.4375
94,35.3146
95,35.2322
96,34.96
97,34.7241
98,35.3211
99,35.8147
100,35.6945
101,35.8097
102,36.0261
103,36.0936
104,36.2196
105,36.3677
106,36.1893
107,36.3247
108,36.35
109,36.4327
110,36.2366
111,36.2623
112,36.2996
113,36.196
114,36.264
115,36.4224
116,36.4336
117,36.3763
118,36.3091
119,36.0025
120,35.8102
121,35.738
122,35.7864
123,35.9331
124,36.2362
125,36.2237
126,36.4315
127,36.5272
128,36.4767
129,36.7242
130,36.7158
131,36.8673
132,37.197
133,37.2497
134,37.2859
135,36.9394
136,37.2674
137,37.1058
138,37.1973
139,37.2968
140,37.3715
141,37.4619
142,37.4959
143,37.4929
144,37.7499
145,37.9572
146,37.8919
147,37.626
148,38.0024
149,38.1782
150,37.8369
151,37.4165
152,36.9668
153,36.649
154,37.1835
155,37.5168
156,37.4765
157,37.2337
158,36.8766
159,36.8719
160,37.1795
161,37.3006
162,37.5581
163,37.1447
164,37.5851
165,37.6828
166,37.8826
167,37.5914
168,37.8178
169,37.7698
170,37.9361
171,37.8828
172,38.2356
173,38.6365
174,38.3894
175,38.4127
176,38.4146
177,38.6306
178,38.5904
179,38.5484
180,38.4223
181,37.6808
182,37.1195
183,37.0898
184,36.5657
185,36.7337
186,36.9898
187,37.2607
188,37.375
189,37.3144
190,37.6192
191,37.5992
192,37.7189
193,37.6093
194,38.0229
195,38.142
196,38.2863
197,38.4099
198,38.3387
199,38.219
200,38.2811
201,38.3261
202,38.4222
203,38.4544
204,38.7605
205,38.7276
206,38.9984
207,39.0932
208,39.1579
209,39.3378
210,38.9276
211,38.7289
212,38.8488
213,38.8736
214,38.661
215,38.5453
216,38.2827
217,38.5766
218,38.9186
219,39.0205
220,39.166
221,39.1894
222,39.1881
223,39.2889
224,39.3946
225,39.3631
226,39.4162
227,39.0003
228,38.7392
229,38.6599
230,38.6187
231,38.2508
232,38.7428
233,39.1957
234,39.4034
235,39.0577
236,38.8823
237,39.0298
238,39.3962
239,39.5856
240,39.9389
241,39.977
242,39.9834
243,40.1604
244,40.2241
245,40.108
246,40.0555
247,40.1819
248,39.9663
249,39.8831
250,39.9452
251,40.2319
252,40.4013
253,40.7211
254,40.6801
255,40.5405
256,40.5792
257,40.5928
258,40.6984
259,40.422
260,40.7239
261,40.6488
262,40.8781
263,40.9843
264,41.1956
265,41.1036
266,40.8942
267,41.0369
268,40.7713
269,40.6358
270,40.7597
271,39.667
272,39.3698
273,38.8392
274,38.9324
275,39.3285
276,38.9963
277,39.3578
278,39.3271
279,39.3464
280,39.0149
281,38.6684
282,38.5803
283,38.5915
284,38.5124
285,39.015
286,39.5202
287,39.4314
288,39.287
289,39.1303
290,38.8726
291,38.4673
292,38.0977
293,38.3719
294,38.3516
295,38.9075
296,39.073
297,39.0346
298,39.0236
299,38.5387
300,38.1562
301,38.2938
302,38.3945
303,38.2044
304,37.8183
305,38.4121
306,38.7989
307,38.6206
308,39.1232
309,39.3904
310,38.8606
311,39.6058
312,39.7011
313,39.9101
314,39.9436
315,39.893
316,39.9743
317,39.9747
318,40.2421
319,40.3399
320,40.1978
321,40.3935
322,40.2784
323,40.4527
324,40.5165
325,40.3567
326,40.4901
327,40.6717
328,40.8998
329,40.6194
330,40.3034
331,40.0846
332,40.4341
333,40.4131
334,40.3568
335,40.1881
336,40.5366
337,40.4364
338,40.3375
339,40.0586
340,39.9094
341,39.4585
342,39.0354
343,39.2016
344,38.8774
345,39.0803
346,39.6021
347,40.0791
348,39.8211
349,39.7312
350,40.0327
351,39.8307
352,39.5638
353,39.3135
354,39.751
355,39.9877
356,39.954
357,40.0149
358,40.2408
359,40.1455
360,40.0854
361,39.9879
362,39.9072
363,39.595
364,39.7061
365,39.5298
366,39.8019
367,39.479
368,39.5217
369,39.0622
370,38.6863
371,39.0919
372,38.8112
